company_id,pros,cons,score,recommendation,confidence,top_pros,top_cons
RECLTD,3,3,0.05,Sell,0.8,High ROE (20.4%); Healthy net profit margin,High debt levels; Low interest coverage
ADANIENSOL,2,2,-0.05,Sell,0.8,Strong operating margin; Positive free cash flow,Low ROE (9.5%); High debt levels
CANBK,2,2,-0.05,Sell,0.8,Strong operating margin; Positive free cash flow,High debt levels; Low interest coverage
PNB,2,2,-0.05,Sell,0.8,High ROE (61.3%); Efficient asset utilization,High debt levels; Negative free cash flow
TATAPOWER,1,1,-0.05,Sell,0.8,Positive free cash flow,High debt levels
GODREJCP,2,3,-0.85,Sell,0.8,Low debt levels; Strong operating margin,Low ROE (-4.5%); Weak profitability
AXISBANK,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage
BANKBARODA,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage
GRASIM,1,2,-0.9,Sell,0.8,Strong operating margin,High debt levels; Negative free cash flow
INDUSINDBK,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage
JSWENERGY,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,Low ROE (8.3%); High debt levels
SHRIRAMFIN,2,3,-0.9,Sell,0.8,Healthy net profit margin; Strong operating margin,High debt levels; Low interest coverage
JSWSTEEL,1,2,-1.05,Avoid,0.95,Stable financial performance,High debt levels; Negative free cash flow
M&M,1,2,-1.05,Avoid,0.95,Stable financial performance,High debt levels; Negative free cash flow
TVSMOTOR,1,3,-1.7,Avoid,0.95,High ROE (26.2%),High debt levels; Weak profitability
TATASTEEL,1,3,-1.75,Avoid,0.95,Positive free cash flow,Low ROE (-5.3%); Weak profitability
ADANIGREEN,1,3,-1.8,Avoid,0.95,Strong operating margin,High debt levels; Low interest coverage
UNIONBANK,1,3,-1.8,Avoid,0.95,Positive free cash flow,High debt levels; Weak operating margin
ADANIENT,1,4,-2.8,Avoid,0.95,Stable financial performance,Low ROE (8.5%); High debt levels
BHEL,1,5,-3.5,Avoid,0.95,Low debt levels,Low ROE (1.1%); Weak profitability
